id,species,forme,type1,type2,hp,attack,defense,spattack,spdefense,speed,dex1,dex2,pre-evolution
171,Lanturn,Lanturn,Water,Electric,125,58,58,76,76,67,"Should you peer into the ocean at night and see a light shining like the stars, that is Lanturn.",This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.,Chinchou
172,Pichu,Pichu,Electric,,20,40,15,35,35,60,"It is not yet skilled at controlling electricity. If you take your eyes off it, it may shock itself.","Despite this Pokémon’s cute appearance, those who want to live with one should prepare to be on the receiving end of its electric jolts.",
173,Cleffa,Cleffa,Fairy,,50,25,28,45,55,15,"On late nights illuminated by shooting stars, it gazes intently skyward, as if thinking of its home.","Because of its silhouette, it’s believed to be a star reborn. For some reason, it loves Minior.",
174,Igglybuff,Igglybuff,Normal,Fairy,90,30,15,40,20,15,"It likes to sing but is not yet good at it. With praise and encouragement, it will get better little by little.","It moves by bouncing along. As it moves a lot, it sweats, and its body gives off a sweet aroma.",
175,Togepi,Togepi,Fairy,,35,20,65,40,65,20,,,
176,Togetic,Togetic,Fairy,Flying,55,40,85,80,105,40,,,Togepi
177,Natu,Natu,Psychic,Flying,40,50,45,70,45,70,,,
178,Xatu,Xatu,Psychic,Flying,65,75,70,95,70,95,,,Natu
179,Mareep,Mareep,Electric,,55,40,40,65,45,35,,,
180,Flaaffy,Flaaffy,Electric,,70,55,55,80,60,45,,,Mareep
181,Ampharos,Ampharos,Electric,,90,75,85,115,90,55,,,Flaaffy
182,Bellossom,Bellossom,Grass,,75,80,95,90,100,50,,,Gloom
183,Marill,Marill,Water,Fairy,70,20,50,20,50,40,,,Azurill
184,Azumarill,Azumarill,Water,Fairy,100,50,80,60,80,50,,,Marill
185,Sudowoodo,Sudowoodo,Rock,,70,100,115,30,65,30,"To avoid attack, it mimics a tree. It will run off if splashed with water, which it hates.","Apparently, the larger the green parts of this Pokémon, the more collectors value it. It’s a particular favorite among elderly people.",Bonsly
186,Politoed,Politoed,Water,,90,75,75,90,100,70,"They gather on moonlit nights to form a large chorus. Their cries sound angry and not at all pleasant, but they are certainly distinctive.","It’s the leader of Poliwag and Poliwhirl. When Politoed roars, they all cower in fear.",Poliwhirl
187,Hoppip,Hoppip,Grass,Flying,35,35,40,35,55,50,,,
188,Skiploom,Skiploom,Grass,Flying,55,45,50,45,65,80,,,Hoppip
189,Jumpluff,Jumpluff,Grass,Flying,75,55,70,55,95,110,,,Skiploom
190,Aipom,Aipom,Normal,,55,70,55,40,55,85,,,
191,Sunkern,Sunkern,Grass,,30,30,30,30,30,30,,,
192,Sunflora,Sunflora,Grass,,75,75,55,105,85,30,,,Sunkern
193,Yanma,Yanma,Bug,Flying,65,65,45,75,45,95,,,
194,Wooper,Wooper,Water,Ground,55,45,45,25,25,15,,,
195,Quagsire,Quagsire,Water,Ground,95,85,85,65,65,35,,,Wooper
196,Espeon,Espeon,Psychic,,65,65,60,130,95,110,It can instantaneously sense its opponent’s movements by feeling air currents with its fine fur.,"It unleashes psychic power from the orb on its forehead. When its power is exhausted, the orb grows dull and dark.",Eevee
197,Umbreon,Umbreon,Dark,,95,65,110,60,130,65,"When this Pokémon becomes angry, its pores secrete a poisonous sweat, which it sprays at its opponent’s eyes.","With its black fur, it blends into the darkness. It bides its time, and when prey appears, this Pokémon goes for its throat, and then eats it.",Eevee
198,Murkrow,Murkrow,Dark,Flying,60,85,42,85,42,91,"They awaken at dusk and take wing in the twilight, leading to the expression, “Get home before the Murkrow fly.”","Seen as a symbol of bad luck, it’s generally disliked. Yet it gives presents—objects that sparkle or shine—to Trainers it’s close to.",
199,Slowking,Slowking,Water,Psychic,95,75,80,100,110,30,"A poisonous bite reacted with its system, blessing it with the enhanced intellect of a genius. It has full control of its psychic powers.","This Pokémon is so famed for its intellect that a proverb still persists in some regions: “When in doubt, ask Slowking.”",Slowpoke
200,Misdreavus,Misdreavus,Ghost,,60,60,60,85,85,85,It will use any means necessary to frighten people and absorb their life energy. It practices constantly to hone its skill in causing fear.,"If you hear a sobbing sound emanating from a vacant room, it’s undoubtedly a bit of mischief from Misdreavus.",
201,Unown,Unown,Psychic,,48,72,48,72,48,48,,,Misdreavus
202,Wobbuffet,Wobbuffet,Psychic,,190,33,58,33,58,33,,,Wynaut
203,Girafarig,Girafarig,Normal,Psychic,70,80,65,90,65,85,,,
204,Pineco,Pineco,Bug,,50,65,90,35,35,15,,,
205,Forretress,Forretress,Bug,Steel,75,90,140,60,60,40,,,Pineco
206,Dunsparce,Dunsparce,Normal,,100,70,70,65,65,45,,,
207,Gligar,Gligar,Ground,Flying,65,75,105,35,65,85,,,
208,Steelix,Steelix,Steel,Ground,75,85,200,55,65,30,,,Onix
209,Snubbull,Snubbull,Fairy,,60,80,50,40,40,30,"Despite its intimidating face, it’s quite cowardly. Its desperate attempts to appear threatening make it popular with people.",Its growls make its opponents uneasy. This laid-back Pokémon tends to sleep half the day.,
210,Granbull,Granbull,Fairy,,90,120,75,60,60,45,"Its well-developed lower jaw and heavy fangs are its weapons. As long as it’s not provoked, it rarely bites.","More timid than Snubbull, this Pokémon is doted on by young people amused at the contrast between its looks and its attitude.",Snubbull
211,Qwilfish,Qwilfish,Water,Poison,65,95,85,55,55,85,,,
212,Scizor,Scizor,Bug,Steel,70,130,100,55,80,65,"It uses its wings to adjust its body temperature. Otherwise, its metal body would become too hot and melt in the heat of battle.","Once it has identified an enemy, this Pokémon smashes it mercilessly with pincers hard as steel.",Scyther
213,Shuckle,Shuckle,Bug,Rock,20,10,230,10,230,5,,,
214,Heracross,Heracross,Bug,Fighting,80,125,75,40,95,85,,,
215,Sneasel,Sneasel,Dark,Ice,55,95,55,35,75,115,"It has a cunning yet savage disposition. It waits for parents to leave their nests, and then it sneaks in to steal their eggs.",It uses its claws to poke holes in eggs so it can slurp out the insides. Breeders consider it a scourge and will drive it away or eradicate it.,
216,Teddiursa,Teddiursa,Normal,,60,80,50,50,50,40,,,
217,Ursaring,Ursaring,Normal,,90,130,75,75,75,55,,,Teddiursa
218,Slugma,Slugma,Fire,,40,40,40,70,40,20,,,
219,Magcargo,Magcargo,Fire,Rock,60,50,120,90,80,30,,,Slugma
220,Swinub,Swinub,Ice,Ground,50,50,40,30,30,50,,,
221,Piloswine,Piloswine,Ice,Ground,100,100,80,60,60,50,,,Swinub
222,Corsola,Corsola,Water,Rock,65,55,95,65,95,35,"Coral branches grow from its head. They break off quite easily, but they grow back in about three days.","Pursued by Mareanie for the branches on its head, this Pokémon will sometimes snap its own branches off as a diversion while it escapes.",
223,Remoraid,Remoraid,Water,,35,65,35,65,35,65,,,
224,Octillery,Octillery,Water,,75,105,75,105,75,45,,,Remoraid
225,Delibird,Delibird,Ice,Flying,45,55,45,65,45,75,"Although it naturally prefers colder locales, Delibird in Alola seem able to withstand the heat to a certain extent.","It has a generous habit of sharing its food with people and Pokémon, so it’s always scrounging around for more food.",
226,Mantine,Mantine,Water,Flying,85,40,70,80,140,70,,,Mantyke
227,Skarmory,Skarmory,Steel,Flying,65,80,140,40,70,70,"Its feathers, which fall off as it grows, are thin and sharp. In times long past, warriors used them as swords.","Its metal body is sturdy, but it does rust rather easily. So on rainy days, this Pokémon prefers to stay put in its nest.",
228,Houndour,Houndour,Dark,Fire,45,60,30,80,50,65,,,
229,Houndoom,Houndoom,Dark,Fire,75,90,50,110,80,95,,,Houndour
230,Kingdra,Kingdra,Water,Dragon,75,95,95,95,95,85,,,Seadra
231,Phanpy,Phanpy,Ground,,90,60,60,40,40,40,,,
232,Donphan,Donphan,Ground,,90,120,120,60,60,50,,,Phanpy
233,Porygon2,Porygon2,Normal,,85,80,90,105,95,60,"For the purposes of planetary development, Porygon was updated with the most cutting-edge technology available.",Porygon was updated to a new version in readiness for planetary development. But that dream remains unrealized as yet.,Porygon
234,Stantler,Stantler,Normal,,73,95,62,85,65,85,,,
235,Smeargle,Smeargle,Normal,,55,20,35,20,45,75,The unique creations produced by each Smeargle are painted using the fluid that oozes from its tail. This is how it marks its territory.,"It draws symbols all over the place to mark its territory. In towns with many Smeargle, the walls are covered in graffiti.",
236,Tyrogue,Tyrogue,Fighting,,35,35,35,35,35,35,,,
237,Hitmontop,Hitmontop,Fighting,,50,95,95,35,110,70,,,Tyrogue
238,Smoochum,Smoochum,Ice,Psychic,45,30,15,85,65,65,,,
239,Elekid,Elekid,Electric,,45,63,37,65,55,95,"When it’s in a house, electrical outlets serve as its baby bottles. It sucks down electricity.",This Pokémon is constantly fighting with Togedemaru that try to steal its electricity. It’s a pretty even match.,
240,Magby,Magby,Fire,,45,75,37,70,55,83,"Many of these Pokémon can be seen in areas with volcanic activity. Feeding can get them so excited, they exhale flames of 1,100 degrees F.",A famous potter lives with a Magby. Apparently its soft flames produce fine works.,
241,Miltank,Miltank,Normal,,95,80,105,40,70,100,"Its milk is high in calories and packed with nutrients. Therefore, if you drink too much of it, you may wind up with a body like Miltank’s.","Most people raise it for its milk, but it’s quite tough and strong, so it’s also well suited for battle.",
242,Blissey,Blissey,Normal,,255,10,10,75,135,55,"Even the most ferocious Pokémon become calm when they eat Blissey’s egg, which is said to be filled with happiness.","Its fluffy fur coat acts as a sensor, enabling it to read the feelings of people and Pokémon.",Chansey
243,Raikou,Raikou,Electric,,90,85,75,115,100,115,,,
244,Entei,Entei,Fire,,115,115,85,90,75,100,,,
245,Suicune,Suicune,Water,,100,75,115,90,115,85,,,
246,Larvitar,Larvitar,Rock,Ground,50,64,50,45,50,41,,,
247,Pupitar,Pupitar,Rock,Ground,70,84,70,65,70,51,,,Larvitar
248,Tyranitar,Tyranitar,Rock,Dark,100,134,110,95,100,61,,,Pupitar
249,Lugia,Lugia,Psychic,Flying,106,90,130,90,154,110,,,
250,Ho-Oh,Ho-Oh,Fire,Flying,106,130,90,110,154,90,,,
251,Celebi,Celebi,Psychic,Grass,100,100,100,100,100,100,,,
252,Treecko,Treecko,Grass,,40,45,35,65,55,70,,,
253,Grovyle,Grovyle,Grass,,50,65,45,85,65,95,,,Treecko
254,Sceptile,Sceptile,Grass,,70,85,65,105,85,120,,,Grovyle
255,Torchic,Torchic,Fire,,45,60,40,70,50,45,,,
256,Combusken,Combusken,Fire,Fighting,60,85,60,85,60,55,,,Torchic
257,Blaziken,Blaziken,Fire,Fighting,80,120,70,110,70,80,,,Combusken
258,Mudkip,Mudkip,Water,,50,70,50,50,50,40,,,
259,Marshtomp,Marshtomp,Water,Ground,70,85,70,60,70,50,,,Mudkip
260,Swampert,Swampert,Water,Ground,100,110,90,85,90,60,,,Marshtomp
261,Poochyena,Poochyena,Dark,,35,55,35,30,30,35,,,
262,Mightyena,Mightyena,Dark,,70,90,70,60,60,70,,,Poochyena
263,Zigzagoon,Zigzagoon,Normal,,38,30,41,30,41,60,,,
264,Linoone,Linoone,Normal,,78,70,61,50,61,100,,,Zigzagoon
265,Wurmple,Wurmple,Bug,,45,45,35,20,30,20,,,
266,Silcoon,Silcoon,Bug,,50,35,55,25,25,15,,,Wurmple
267,Beautifly,Beautifly,Bug,Flying,60,70,50,100,50,65,,,Silcoon
268,Cascoon,Cascoon,Bug,,50,35,55,25,25,15,,,Wumple
269,Dustox,Dustox,Bug,Poison,60,50,70,50,90,65,,,Cascoon
270,Lotad,Lotad,Water,Grass,40,30,30,40,50,30,,,
271,Lombre,Lombre,Water,Grass,60,50,50,60,70,50,,,Lotad
272,Ludicolo,Ludicolo,Water,Grass,80,70,70,90,100,70,,,Lombre
273,Seedot,Seedot,Grass,,40,40,50,30,30,30,,,
274,Nuzleaf,Nuzleaf,Grass,Dark,70,70,40,60,40,60,,,Seedot
275,Shiftry,Shiftry,Grass,Dark,90,100,60,90,60,80,,,Nuzleaf
276,Taillow,Taillow,Normal,Flying,40,55,30,30,30,85,,,
277,Swellow,Swellow,Normal,Flying,60,85,60,75,50,125,,,Taillow
278,Wingull,Wingull,Water,Flying,40,30,30,55,30,85,Its hollow bones enhance its lightness. It spreads its wings to the wind and soars away into the sky.,"Fishermen keep an eye out for Wingull in the sky, because wherever they’re circling, the ocean is sure to be teeming with fish Pokémon.",
279,Pelipper,Pelipper,Water,Flying,60,50,100,95,70,65,Its spacious beak is large enough for a small child to fit right inside.,Gathering food is the work of young males. They store food in their capacious beaks and carry it back to others waiting in the nest.,Wingull
280,Ralts,Ralts,Psychic,Fairy,28,25,25,45,35,40,,,
281,Kirlia,Kirlia,Psychic,Fairy,38,35,35,65,55,50,,,Ralts
282,Gardevoir,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,,,Kirlia
283,Surskit,Surskit,Bug,Water,40,30,32,50,52,65,It moves as if skating on the surface of the water. It often fights with Dewpider over food.,"When this Pokémon senses danger, a sweet fluid oozes from the tip of its head. The taste of it disgusts bird Pokémon.",
284,Masquerain,Masquerain,Bug,Flying,70,60,62,100,82,80,It intimidates enemies with the eye-like patterns on its antennae. Its four wings allow it to fly in any direction.,"Its wings and antennae don’t cope well with moisture. After a rain, it faces sunward to dry off.",Surskit
285,Shroomish,Shroomish,Grass,,60,40,60,40,60,35,,,
286,Breloom,Breloom,Grass,Fighting,60,130,80,60,60,70,,,Shroomish
287,Slakoth,Slakoth,Normal,,60,60,60,35,35,30,,,
288,Vigoroth,Vigoroth,Normal,,80,80,80,55,55,90,,,Slakoth
289,Slaking,Slaking,Normal,,150,160,100,95,65,100,,,Vigoroth
290,Nincada,Nincada,Bug,Ground,31,45,90,30,30,40,,,
291,Ninjask,Ninjask,Bug,Flying,61,90,45,50,50,160,,,Nincada
292,Shedinja,Shedinja,Bug,Ghost,1,90,45,30,30,40,,,Nincada
293,Whismur,Whismur,Normal,,64,51,23,51,23,28,,,
294,Loudred,Loudred,Normal,,84,71,43,71,43,48,,,Whismur
295,Exploud,Exploud,Normal,,104,91,63,91,73,68,,,Loudred
296,Makuhita,Makuhita,Fighting,,72,60,30,20,30,25,"It was originally brought in from another region, but now Makuhita from Alola are more famous.","Their daily routine consists of training together first thing in the morning, eating and napping in the afternoon, and then more training afterward.",
297,Hariyama,Hariyama,Fighting,,144,120,60,40,60,50,"It is known for its fantastic strength, but as it grows older, it focuses more on training Makuhita.",They love to compare their freakish strength— strength enough to send a truck flying with a single slap.,Makuhita
298,Azurill,Azurill,Normal,Fairy,50,20,40,20,40,20,,,
299,Nosepass,Nosepass,Rock,,30,45,135,45,90,30,"The magnet in Nosepass’s nose provides an unerring compass, making it an excellent partner for Trainers going on a journey.","It uses powerful magnetism to drag its prey toward it. It’s also been known to pull in metal, which it collects and uses to protect itself.",
300,Skitty,Skitty,Normal,,50,45,45,35,35,50,,,
301,Delcatty,Delcatty,Normal,,70,65,65,55,55,90,,,Skitty
302,Sableye,Sableye,Dark,Ghost,50,75,75,65,65,50,"It’s a fiend for gemstones, so it stalks Carbink. Unfortunately, Gabite almost always grabs them first.","This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away.",
303,Mawile,Mawile,Steel,Fairy,50,85,85,55,55,50,,,
304,Aron,Aron,Steel,Rock,50,70,100,40,40,30,,,
305,Lairon,Lairon,Steel,Rock,60,90,140,50,50,40,,,Aron
306,Aggron,Aggron,Steel,Rock,70,110,180,60,60,50,,,Lairon
307,Meditite,Meditite,Fighting,Psychic,30,40,55,40,55,60,,,
308,Medicham,Medicham,Fighting,Psychic,60,60,75,60,75,80,,,Meditite
309,Electrike,Electrike,Electric,,40,45,40,65,40,65,,,
310,Manectric,Manectric,Electric,,70,75,60,105,60,105,,,Electrike
311,Plusle,Plusle,Electric,,60,50,40,85,75,95,,,
312,Minun,Minun,Electric,,60,40,50,75,85,95,,,
313,Volbeat,Volbeat,Bug,,65,73,75,47,85,85,,,
314,Illumise,Illumise,Bug,,65,47,75,73,85,85,,,
315,Roselia,Roselia,Grass,Poison,50,60,45,100,80,65,,,Budew
316,Gulpin,Gulpin,Poison,,70,43,53,43,53,40,,,
317,Swalot,Swalot,Poison,,100,73,83,73,83,55,,,Gulpin
318,Carvanha,Carvanha,Water,Dark,45,90,20,65,20,65,Each school has its own territory. Any intruders are mercilessly attacked with fangs bared.,"If they scent the faintest trace of blood, they rush to attack en masse. When alone, they’re rather cowardly.",
319,Sharpedo,Sharpedo,Water,Dark,70,120,40,95,40,95,It pursues its prey at speeds of 75 mph and finishes them off with fangs that can crush iron. It is known as the bully of the sea.,"It has a sad history. In the past, its dorsal fin was a treasured foodstuff, so this Pokémon became a victim of overfishing.",Carvanha
320,Wailmer,Wailmer,Water,,130,70,35,70,35,60,It loves to startle people. It fills itself up with seawater and plays by bouncing around like a ball.,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,
321,Wailord,Wailord,Water,,170,90,45,90,45,60,"Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole.",Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world.,Wailmer
322,Numel,Numel,Fire,Ground,60,60,40,65,45,35,,,
323,Camerupt,Camerupt,Fire,Ground,70,100,70,105,75,40,,,Numel
324,Torkoal,Torkoal,Fire,,70,85,140,85,70,20,Coal is the source of Torkoal’s energy. Large amounts of coal can be found in the mountains where they live.,"If the fire burning within its shell goes out, it will die. Those who wish to raise one in their home must always keep something flammable at hand.",
325,Spoink,Spoink,Psychic,,60,25,35,70,80,60,,,
326,Grumpig,Grumpig,Psychic,,80,45,65,90,110,80,,,Spoink
327,Spinda,Spinda,Normal,,60,60,60,60,60,60,"Its steps are staggering and unsteady, but Spinda thinks it’s walking in a straight line.",Each and every Spinda has a slightly different configuration of spots. There are collectors who enjoy the tiny differences in their spot patterns.,
328,Trapinch,Trapinch,Ground,,45,100,45,45,45,10,It can live for a week without eating a thing. It waits patiently at the bottom of its nest for prey to appear.,"As it digs through the sand, its giant jaws crush any rocks that obstruct its path. It builds a funnel-shaped nest.",
329,Vibrava,Vibrava,Ground,Dragon,50,70,50,50,50,70,"Rather than using its underdeveloped wings for flight, it rubs them together, producing ultrasonic waves to attack its enemies.","To help make its wings grow, it dissolves quantities of prey in its digestive juices and guzzles them down every day.",Trapinch
330,Flygon,Flygon,Ground,Dragon,80,100,80,80,80,100,"The flapping of its wings sounds something like singing. Those lured by the sound are enveloped in a sandstorm, becoming Flygon’s prey.",This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,Vibrava
331,Cacnea,Cacnea,Grass,,50,85,40,85,40,35,,,
332,Cacturne,Cacturne,Grass,Dark,70,115,60,115,60,55,,,Cacnea
333,Swablu,Swablu,Normal,Flying,45,40,60,40,75,50,,,
334,Altaria,Altaria,Dragon,Flying,75,70,90,70,105,80,,,Swablu
335,Zangoose,Zangoose,Normal,,73,115,60,60,60,90,,,
336,Seviper,Seviper,Poison,,73,100,60,100,60,65,,,
337,Lunatone,Lunatone,Rock,Psychic,90,55,65,95,85,70,,,
338,Solrock,Solrock,Rock,Psychic,90,95,85,55,65,70,,,
339,Barboach,Barboach,Water,Ground,50,48,43,46,41,60,"Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey’s location.","Its slippery body is hard to grasp, so much so that there are festivals where people compete to see how many they can catch barehanded.",
340,Whiscash,Whiscash,Water,Ground,110,78,73,76,71,60,"A glutton that devours anything that moves, it quietly lurks at the bottom of swamps, lying in wait for prey.",Sighting Whiscash leaping from the water is believed to herald an earthquake.,Barboach
341,Corphish,Corphish,Water,,43,80,65,50,35,35,,,
342,Crawdaunt,Crawdaunt,Water,Dark,63,120,85,90,55,55,,,Corphish
343,Baltoy,Baltoy,Ground,Psychic,40,40,55,40,70,55,,,
344,Claydol,Claydol,Ground,Psychic,60,70,105,70,120,75,,,Baltoy
345,Lileep,Lileep,Rock,Grass,66,41,77,61,87,23,,,
346,Cradily,Cradily,Rock,Grass,86,81,97,81,107,43,,,Lileep
347,Anorith,Anorith,Rock,Bug,45,95,50,40,50,75,,,
348,Armaldo,Armaldo,Rock,Bug,75,125,100,70,80,45,,,Anorith
349,Feebas,Feebas,Water,,20,15,20,10,55,80,"A tough Pokémon that is perfectly fine even in dirty water. However, due to its ragged, shabby appearance, it isn’t popular.","Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research.",
350,Milotic,Milotic,Water,,95,60,79,100,125,81,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.,"It lives at the bottom of clear lakes. In times of war, it shows itself, which soothes people’s minds and hearts.",Feebas
351,Castform,Castform (Normal),Normal,,70,70,70,70,70,70,It changes its form depending on the weather. Changes in the temperature or humidity appear to affect its cellular structure.,"Its form changes on its own, due to its cells’ sensitive reactions to temperature and humidity.",
352,Kecleon,Kecleon,Normal,,60,90,70,60,120,40,,,
353,Shuppet,Shuppet,Ghost,,44,75,35,63,33,45,,,
354,Banette,Banette,Ghost,,64,115,65,83,63,65,,,Shuppet
355,Duskull,Duskull,Ghost,,20,40,90,30,90,25,,,
356,Dusclops,Dusclops,Ghost,,40,70,130,60,130,25,,,Duskull
357,Tropius,Tropius,Grass,Flying,99,68,83,72,87,51,,,
358,Chimecho,Chimecho,Psychic,,75,50,80,95,90,65,,,Chingling
359,Absol,Absol,Dark,,65,130,60,75,60,75,"Long ago, superstitions were spread about it, saying it brought disaster. This fed a hatred of it, and it was driven deep into the mountains.","Although it’s said to bring disaster, in actuality, this Pokémon possesses a calm disposition and warns people of any crises that loom.",
360,Wynaut,Wynaut,Psychic,,95,23,48,23,48,23,,,
361,Snorunt,Snorunt,Ice,,50,50,50,50,50,50,Their numbers seem to have rapidly increased in Alola. Custom has it that houses where Snorunt live will be prosperous for generations to come.,"It can only survive in cold areas. It bounces happily around, even in environments as cold as -150 degrees Fahrenheit.",
362,Glalie,Glalie,Ice,,80,80,80,80,80,80,"Legend says a boulder on an icy mountain absorbed the distress and regrets of a stranded mountaineer, giving rise to Glalie.","Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they’re in that frozen state, it gobbles them up.",Snorunt
363,Spheal,Spheal,Ice,Water,70,40,50,55,50,25,,,
364,Sealeo,Sealeo,Ice,Water,90,60,70,75,70,45,,,Spheal
365,Walrein,Walrein,Ice,Water,110,80,90,95,90,65,,,Sealeo
366,Clamperl,Clamperl,Water,,35,64,85,74,55,32,,,
367,Huntail,Huntail,Water,,55,104,105,94,75,52,,,Clamperl
368,Gorebyss,Gorebyss,Water,,55,84,105,114,75,52,,,Clamperl
369,Relicanth,Relicanth,Water,Rock,100,90,130,45,65,55,"Its form has remained the same for one hundred million years. Its body is filled with fat, so it can withstand the water pressure of the deep sea.","It was fortuitously discovered during a deep sea expedition. Its teeth have atrophied, so it now survives on microscopic organisms it sucks up.",
370,Luvdisc,Luvdisc,Water,,43,30,55,40,65,97,"If a Luvdisc is left on its own, it becomes despondent, leaving itself open to attack. That is when Pelipper snatch them up.","Loving couples have a soft spot for this Pokémon, so honeymoon hotels often release this Pokémon into their pools.",
371,Bagon,Bagon,Dragon,,45,75,60,40,30,50,Its belief that it will be able to fly one day is apparently the influence of information carried in its genes.,"With its steel-hard stone head, it headbutts indiscriminately. This is because of the stress it feels at being unable to fly.",
372,Shelgon,Shelgon,Dragon,,65,95,100,60,50,50,"The cells within its shell transform with explosive speed, preparing it for evolution.","They lurk deep within caves—motionless, neither eating nor drinking. Why they don’t die is not known.",Bagon
373,Salamence,Salamence,Dragon,Flying,95,135,80,110,80,100,"When angered, it loses all sense of itself and destroys everything around it. The destruction will continue until Salamence has tired itself out.","It flies around on its wings, which have grown in at last. In its happiness, it gushes hot flames, burning up the fields it passes over.",Shelgon
374,Beldum,Beldum,Steel,Psychic,40,55,80,35,60,30,Its cells are all magnets. It uses magnetism to communicate with others of its kind.,"With magnetic traction, it pulls its opponents in close. When they’re in range, it slashes them with its rear claws.",
375,Metang,Metang,Steel,Psychic,60,75,100,55,80,50,"When two Beldum link together, their psychic power is doubled. Their intelligence, however, remains unchanged.","It adores magnetic minerals, so it pursues Nosepass at speeds exceeding 60 mph.",Beldum
376,Metagross,Metagross,Steel,Psychic,80,135,130,95,90,70,It firmly pins its prey using its four claws and large body. Then the teeth in the mouth on its stomach chew the prey to bits.,"A linkage of two Metang, this Pokémon can perform any calculation in a flash by utilizing parallel processing in its four brains.",Metang
377,Regirock,Regirock,Rock,,80,100,200,50,100,50,,,
378,Regice,Regice,Ice,,80,50,100,100,200,50,,,
379,Registeel,Registeel,Steel,,80,75,150,75,150,50,,,
380,Latias,Latias,Dragon,Psychic,80,80,90,110,130,110,,,
381,Latios,Latios,Dragon,Psychic,80,90,80,130,110,110,,,
382,Kyogre,Kyogre,Water,,100,100,90,150,140,90,,,
383,Groudon,Groudon,Ground,,100,150,140,100,90,90,,,
384,Rayquaza,Rayquaza,Dragon,Flying,105,150,90,150,90,95,,,
385,Jirachi,Jirachi,Steel,Psychic,100,100,100,100,100,100,,,
386,Deoxys,Deoxys (Normal Forme),Psychic,,50,150,50,150,50,150,,,
387,Turtwig,Turtwig,Grass,,55,68,64,45,55,31,,,
388,Grotle,Grotle,Grass,,75,89,85,55,65,36,,,Turtwig
389,Torterra,Torterra,Grass,Ground,95,109,105,75,85,56,,,Grotle
390,Chimchar,Chimchar,Fire,,44,58,44,58,44,61,,,
391,Monferno,Monferno,Fire,Fighting,64,78,52,78,52,81,,,Chimchar
392,Infernape,Infernape,Fire,Fighting,76,104,71,104,71,108,,,Monferno
393,Piplup,Piplup,Water,,53,51,53,61,56,40,,,
394,Prinplup,Prinplup,Water,,64,66,68,81,76,50,,,Piplup
395,Empoleon,Empoleon,Water,Steel,84,86,88,111,101,60,,,Prinplup
396,Starly,Starly,Normal,Flying,40,55,30,30,30,60,,,
397,Staravia,Staravia,Normal,Flying,55,75,50,40,40,80,,,Starly
398,Staraptor,Staraptor,Normal,Flying,85,120,70,50,60,100,,,Staravia
399,Bidoof,Bidoof,Normal,,59,45,40,35,40,31,,,
400,Bibarel,Bibarel,Normal,Water,79,85,60,55,60,71,,,Bidoof
401,Kricketot,Kricketot,Bug,,37,25,41,25,41,25,,,
402,Kricketune,Kricketune,Bug,,77,85,51,55,51,65,,,Kricketot
403,Shinx,Shinx,Electric,,45,65,34,40,34,45,,,
404,Luxio,Luxio,Electric,,60,85,49,60,49,60,,,Shinx
405,Luxray,Luxray,Electric,,80,120,79,95,79,70,,,Luxio
406,Budew,Budew,Grass,Poison,40,30,35,50,70,55,,,
407,Roserade,Roserade,Grass,Poison,60,70,65,125,105,90,,,Roselia
408,Cranidos,Cranidos,Rock,,67,125,40,30,30,58,It lived in jungles around a hundred million years ago. It used its skillful headbutts to combat Aerodactyl.,"In rock layers where Cranidos fossils are found, the fossilized trunks of trees snapped in two are also often found.",
409,Rampardos,Rampardos,Rock,,97,165,60,65,50,58,"The result of repeated headbutts is a skull grown thick and hard. However, its brain has shrunk in size compared with Cranidos’s.",Records exist of a revived fossil that evolved into Rampardos. It proceeded to escape and then destroy a skyscraper with a headbutt.,Cranidos
410,Shieldon,Shieldon,Rock,Steel,30,42,118,42,88,30,"Many fossils of this Pokémon have been found, but almost none have shown signs of damage to the face.","This Pokémon lived in primeval jungles. Few enemies would have been willing to square off against its heavily armored face, so it’s thought.",
411,Bastiodon,Bastiodon,Rock,Steel,60,52,168,47,138,30,"While it can guard against any sort of attack from the front, it is left without recourse when attacked from behind.",It lived in the same environments as Rampardos. Their fossils have been found together— seemingly from after they’d fought to the finish.,Shieldon
412,Burmy,Burmy (Plant Cloak),Bug,,40,29,45,29,45,36,,,
413,Wormadam,Wormadam (Plant Cloak),Bug,Grass,60,59,85,79,105,36,,,Burmy
414,Mothim,Mothim,Bug,Flying,70,94,50,94,50,66,,,Burmy
415,Combee,Combee,Bug,Flying,30,30,42,30,42,70,,,
416,Vespiquen,Vespiquen,Bug,Flying,70,80,102,80,102,40,,,Combee
